name,cuisines,area,averagecost,dinner ratings,cluster
Food Court By Kitchens@,"North Indian, South Indian, Chinese, Mughlai, Biryani, Momos, Desserts, Beverages","Koramangala 7th Block, Bangalore",150,,3
Namma Madurai Militri,"South Indian, North Indian, Chinese, Biryani","Gopalan Innovation Mall, Bannerghatta, Bangalore",100,,0
Chole Bhatura And Parathas,North Indian,"BTM, Bangalore",200,,3
City Durbar,"North Indian, Chinese, Biryani","Jayanagar, Bangalore",800,3.2,2
The Momo Co.,"Chinese, Momos, Desserts, Beverages","Koramangala 7th Block, Bangalore",200,,3
Coal Spark,"North Indian, Seafood, BBQ, Chinese, Mughlai, Lebanese, Fast Food, Biryani","HSR, Bangalore",1000,4.3,1
Boss Burger,"Burger, Fast Food, Desserts, Beverages, Shake","Koramangala 7th Block, Bangalore",300,,0
Ice Cafe & Lassi Shop,"Beverages, Juices, Shake","BTM, Bangalore",200,3.8,0
Dhaba - Estd 1986 Delhi,"Mughlai, North Indian, Desserts","Koramangala 1st Block, Bangalore",2000,3.9,1
Bombay Kulfis,"Ice Cream, Desserts","BTM, Bangalore",200,,0
Kolkata King,"Fast Food, Sandwich, Rolls, Ice Cream, Desserts, Beverages","Basavanagudi, Bangalore",100,,0
Smoke House Deli Delivery,"Italian, Continental, Burger, Salad, Healthy Food, Pizza, Sandwich, Desserts","Bommanahalli, Bangalore",500,,3
Whhite Paani Food Chain,"Street Food, Beverages","BTM, Bangalore",50,,0
Iyengars Bakery,Bakery,"JP Nagar, Bangalore",300,,0
Gorbandh Sweets & Snacks,"Street Food, North Indian, Mithai","BTM, Bangalore",400,3.8,4
Momo Hut,"Chinese, Tibetan, Momos","Koramangala 5th Block, Bangalore",250,4.1,4
The Baker's Dozen,"Bakery, Desserts","Koramangala 5th Block, Bangalore",150,,0
Raffaele's Ristorante Pizzeria,"Pizza, Italian, Beverages","Koramangala 6th Block, Bangalore",800,4.1,4
56 Bhoga Sweets,"Mithai, Street Food, Sandwich, North Indian, Fast Food","HSR, Bangalore",300,,0
Haka,"Chinese, Momos","Koramangala 7th Block, Bangalore",300,,3
Kolkata Rolls & Fast Food,"Rolls, Fast Food, Chinese, North Indian, Biryani, Momos","HSR, Bangalore",100,,0
BOX2EAT,Biryani,"BTM, Bangalore",200,,3
Just Sandwiches,"Fast Food, Beverages, Shake","BTM, Bangalore",150,3.3,2
Copper Kitchen,"Biryani, Chinese, Chettinad, Andhra, Lebanese, Shake","HSR, Bangalore",800,4.1,4
Biryani Royal,Biryani,"Koramangala 1st Block, Bangalore",250,,3
Khichdi Express,North Indian,"Koramangala 6th Block, Bangalore",150,,3
Szechuan Dragon,"Chinese, Asian, Thai, Momos","HSR, Bangalore",200,,3
Sri Bhagya Sagar,"South Indian, North Indian, Chinese, Street Food, Mughlai, Ice Cream, Desserts, Beverages","Bommanahalli, Bangalore",400,3.0,2
Kouzina Kafe - The Food Court,"Fast Food, Bakery, Desserts","Koramangala 6th Block, Bangalore",200,,3
Khmer Kitchen,"Asian, Sushi, Desserts, Beverages","JP Nagar, Bangalore",1800,4.1,1
Taste Of Malabar,"Kerala, North Indian, Chinese, Mughlai, Arabian, Shake","Bannerghatta Road, Bangalore",150,,3
Southinn,"South Indian, North Indian, Fast Food, Beverages, Chinese","HSR, Bangalore",400,3.8,4
Koramangala Social,"North Indian, Chinese, Biryani, Pizza, Salad, Kebab, Desserts, Beverages","Koramangala 7th Block, Bangalore",1500,4.5,1
Roti Sabji.Com,"North Indian, Beverages, Rajasthani, Shake","BTM, Bangalore",100,,0
Bamey's Restro Cafe,"Asian, Nepalese, Momos","Koramangala 5th Block, Bangalore",800,4.3,4
Sagar Fast Food,"South Indian, North Indian, Street Food, Chinese, Beverages, Shake","Koramangala 8th Block, Bangalore",300,3.9,4
Rajasthani Dhaba,"Rajasthani, North Indian","Shanti Nagar, Bangalore",400,3.6,0
Mandya Gowdru Donne Biryani,"Biryani, South Indian, Chettinad","HSR, Bangalore",300,3.7,3
Tarbouche,"Rolls, Middle Eastern, Lebanese","Koramangala 8th Block, Bangalore",300,2.6,2
Go Native,"Healthy Food, South Indian, Fast Food, Desserts, Beverages","HSR, Bangalore",1000,4.3,1
Artinci - Indulge Guilt Free!,"Ice Cream, Desserts, Beverages","Koramangala 1st Block, Bangalore",150,,3
Al Makkah Restaurant,"Biryani, Chinese, North Indian","BTM, Bangalore",400,3.6,0
Gudbud,"Ice Cream, Beverages","Koramangala 7th Block, Bangalore",300,4.2,4
Paratha Box - 2X Filling,"North Indian, Desserts, Beverages","Koramangala 7th Block, Bangalore",150,,3
Arogya Ahaara,"South Indian, Chinese","HSR, Bangalore",100,4.8,4
Vinaya Cafe,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Beverages, Shake","Jayanagar, Bangalore",400,2.9,2
Simpli Namdhari's,"Healthy Food, European, Pizza, Fast Food, Beverages","Jayanagar, Bangalore",400,3.1,2
Cupcake Noggins,"Bakery, Desserts","Koramangala 4th Block, Bangalore",400,4.2,4
ITC Master Chef Creations,"North Indian, Mughlai, Mediterranean, Desserts","Koramangala 7th Block, Bangalore",350,,3
Khichadiwala,"North Indian, Healthy Food","HSR, Bangalore",100,,0
Sandwich Eats,"Sandwich, Fast Food, Beverages, Shake","HSR, Bangalore",100,,0
Andhra Delight,"Andhra, Biryani","Koramangala 1st Block, Bangalore",250,,0
Alfa Family Restaurant,"North Indian, Chinese, South Indian, Mughlai, Fast Food, Beverages","Wilson Garden, Bangalore",500,3.0,2
Castle Restaurant,"South Indian, North Indian, Chinese","BTM, Bangalore",600,3.6,4
Pure & Natural,"Healthy Food, Beverages, Fast Food, Italian, Juices, Salad, Shake","Jayanagar, Bangalore",500,3.6,0
Khan Saheb Grills And Rolls,"Rolls, North Indian, Mughlai","HSR, Bangalore",250,,0
S M V Snacks Corner,"Fast Food, Street Food, Ice Cream, Desserts","Basavanagudi, Bangalore",100,,0
Bangaliana,"Bengali, Seafood","Koramangala 7th Block, Bangalore",600,3.7,4
MDP Coffee House,"South Indian, Beverages, Shake, Tea","HSR, Bangalore",100,3.7,0
Elixir - Luxury Pearls Drink,Beverages,"Koramangala 7th Block, Bangalore",200,,0
Mad Momos,Momos,"Bommanahalli, Bangalore",150,,3
Wat-A-Burger - India Ka Burger,"Burger, Fast Food, Beverages, Sandwich, Wraps","Jayanagar, Bangalore",500,3.8,4
Kebarbiq Restaurant,"BBQ, Arabian, Continental, North Indian, Middle Eastern, Chinese, Beverages","HSR, Bangalore",800,4.1,4
Puneri Katta,"Maharashtrian, Street Food","BTM, Bangalore",200,,0
SLV Ragigudda,"South Indian, North Indian, Chinese, Street Food","Jayanagar, Bangalore",400,3.2,2
Hakuna Matata,"North Indian, Asian, Seafood, Chinese","JP Nagar, Bangalore",1400,4.5,1
Juice Junction Food Court,"Fast Food, Beverages, Juices, Sandwich, Shake","HSR, Bangalore",150,3.8,0
Chikkanna Tiffin Room,South Indian,"City Market, Bangalore",200,4.2,4
Tharavadu,"Chinese, North Indian, Kerala, South Indian, Biryani, Seafood, Mughlai","HSR, Bangalore",500,3.8,4
Malabar Cafe,"Kerala, South Indian, North Indian","Koramangala 7th Block, Bangalore",400,3.1,2
Darjeeling Hot Momos,Momos,"BTM, Bangalore",100,,3
The Sugar Free Keto Kafe - By Artinci,"Desserts, Ice Cream, Bakery","Koramangala 1st Block, Bangalore",150,,3
Burger Friendz,"Burger, Fast Food","BTM, Bangalore",200,3.0,2
Curry On Tikka,"North Indian, Mughlai, Kebab","HSR, Bangalore",250,,0
Pasta Street,"Pasta, Pizza, Italian, European, Salad, Desserts, Beverages","Koramangala 4th Block, Bangalore",1500,4.8,1
Havmor Ice Cream,"Desserts, Ice Cream, Beverages","Jayanagar, Bangalore",300,3.8,0
The Betel Leaf Co - Paan The Healthy Indian Dessert,Paan,"Koramangala 6th Block, Bangalore",200,,0
Globo Ice Creams of the World,Ice Cream,"Koramangala 6th Block, Bangalore",100,,0
Amma's  Pastries ,Bakery,"Koramangala 7th Block, Bangalore",100,,0
Aramane Donne Biriyani,"Biryani, North Indian, Chinese, Andhra","Koramangala 8th Block, Bangalore",350,3.2,2
Tikka Kebab Express,"Chinese, North Indian, Mughlai, Biryani, Beverages","Bommanahalli, Bangalore",550,,4
S N Refreshments,South Indian,"JP Nagar, Bangalore",100,4.6,4
Tapri By The Corner,"North Indian, Chinese","Koramangala 5th Block, Bangalore",300,4.0,0
Snack House,"Momos, Fast Food","Koramangala 6th Block, Bangalore",150,,3
RR Tandoor And Rolls,"Biryani, Rolls, North Indian, Mughlai, Chinese","Wilson Garden, Bangalore",400,,0
Baba Ganoush Cafe,"Fast Food, Lebanese, Beverages, Arabian","Koramangala 6th Block, Bangalore",500,3.8,4
Tender Grills,Lebanese,"Indiranagar, Bangalore",100,,0
Rajvardhan Foods,"Street Food, Maharashtrian","Jayanagar, Bangalore",300,4.0,0
Cakebuy,Bakery,"Bannerghatta Road, Bangalore",300,3.6,0
New Gongura Grand,"Andhra, North Indian, Chinese, Mughlai, Seafood, Biryani, Beverages","HSR, Bangalore",550,4.0,4
Sai Jagannath Food And Chats Point,"North Indian, Street Food, Chinese, South Indian","Bommanahalli, Bangalore",350,3.6,0
C. K. Mega Hot Food,"Chinese, Seafood","BTM, Bangalore",400,3.8,4
Ambur Star Dum Biryani,"Biryani, Kebab","Jayanagar, Bangalore",200,3.4,0
Homese Just Veg,"South Indian, North Indian","HSR, Bangalore",150,,3
Tata Cha now Qmin,"Tea, Beverages, Street Food, Shake","Koramangala 7th Block, Bangalore",150,,0
Mamagoto,"Asian, Chinese, Sushi, Thai","Koramangala 1st Block, Bangalore",1700,4.0,1
Biryanis,"Chinese, Kebab, Biryani, North Indian, Seafood, Andhra","HSR, Bangalore",600,3.6,4
URU Brewpark,"Italian, North Indian, Continental, Asian, Desserts, Beverages","JP Nagar, Bangalore",1500,4.3,1
Soupwala,"North Indian, Chinese, Street Food, Fast Food, Biryani, Mughlai, Seafood, Rolls","HSR, Bangalore",300,3.3,2
Tasty Shawarma Rolls,"Lebanese, Chinese","BTM, Bangalore",400,3.1,2
Cafe 58,"Kerala, Rolls, Fast Food, Biryani, Sandwich, South Indian, Lebanese, Beverages","Bommanahalli, Bangalore",350,3.4,0
Mallu Family Restaurant,"Arabian, Biryani, Chinese, South Indian, Beverages, Shake","BTM, Bangalore",350,3.1,2
Indori  Zaika,"North Indian, Fast Food, Street Food","HSR, Bangalore",300,2.3,2
The Lassi Park,"Beverages, Ice Cream, Desserts","Jayanagar, Bangalore",300,4.0,0
Royal Treat,"North Indian, Chinese, Biryani","Koramangala 5th Block, Bangalore",400,4.2,4
Kairali,"South Indian, Seafood, Biryani","BTM, Bangalore",300,3.8,0
Swadista Aahar,"South Indian, North Indian, Chinese","BTM, Bangalore",300,4.0,4
Temperature Juice Bar,"Beverages, Healthy Food, Shake","BTM, Bangalore",250,3.6,0
Maiyas,"North Indian, South Indian, Fast Food, Juices","Jayanagar, Bangalore",400,4.2,4
Pizza 997 AD,"Pizza, Fast Food, Desserts","Koramangala 4th Block, Bangalore",350,,3
Gowda's Nati Cafe,"Biryani, South Indian, Chinese","BTM, Bangalore",300,3.4,0
Bangarpet Chats,Street Food,"BTM, Bangalore",100,,0
Thalassery Cafe,"Street Food, Chinese, Kerala, South Indian, Seafood, Desserts, Ice Cream, Beverages","BTM, Bangalore",300,3.7,0
Brahma Brews,"Bar Food, Asian, Italian, North Indian, Fast Food, European, South Indian","JP Nagar, Bangalore",1900,4.6,1
Chandni Chowk,"Street Food, North Indian, Mithai","HSR, Bangalore",150,,3
Pizza Stop,"Pasta, Pizza, Fast Food","Jayanagar, Bangalore",400,4.0,4
Turkish Chicken Company,"Arabian, Lebanese, Turkish","HSR, Bangalore",200,,3
My Cake Shop. in,"Bakery, Desserts, Fast Food","Hosur Road, Bangalore",300,2.6,2
Totto's Pizza ,"Pizza, Italian, Fast Food","Brigade Road, Bangalore",300,,3
San Tung Chinese,"Chinese, Momos","Koramangala 7th Block, Bangalore",200,,0
Tikka Kebab,"Kebab, North Indian, Chinese, Mughlai, Biryani, Ice Cream, Beverages","Bommanahalli, Bangalore",600,3.8,4
Chung's Chinese Corner,"Chinese, Asian, Seafood","Jayanagar, Bangalore",1200,3.7,1
3 Mangos,"Beverages, Fast Food, Ice Cream, Shake","BTM, Bangalore",100,,0
Sundae Everyday Ice Creams,"Ice Cream, Shake","Koramangala 6th Block, Bangalore",150,,0
Saiko Sushi House,"Sushi, Japanese","BTM, Bangalore",450,,3
No Sugar Please!,"Beverages, Juices, Healthy Food","Hosur Road, Bangalore",200,,0
Dairy Day Ice Creams,Ice Cream,"Koramangala 5th Block, Bangalore",100,,0
Fresh Pressery Cafe,"Fast Food, Healthy Food, Desserts","Koramangala 5th Block, Bangalore",1200,4.0,1
Fish & Fries Restaurant,"Fast Food, Italian, Mexican, Steak","HSR, Bangalore",600,4.2,4
Bhavani Chats N Juice,"Beverages, Street Food, Fast Food","Jayanagar, Bangalore",100,,0
Chinita Real Mexican Food,"Mexican, Desserts, Beverages","Koramangala 5th Block, Bangalore",1200,4.6,1
Express By ABs,"North Indian, Biryani, BBQ","BTM, Bangalore",200,,0
O4H - Order For Health,"Healthy Food, Salad, Beverages","BTM, Bangalore",250,,3
New Udupi Upahar,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake","Jayanagar, Bangalore",400,3.5,0
Home Plate by EatFit,"North Indian, Beverages","Koramangala 7th Block, Bangalore",150,,3
Mast Marathi,"Maharashtrian, Street Food, Desserts, Beverages","HSR, Bangalore",300,4.0,4
Tandoori Taal,"North Indian, Seafood, Desserts","Prestige Trade Tower, Race Course Road, Bangalore",800,3.9,4
KC Das ,"Mithai, Street Food","Jayanagar, Bangalore",50,,0
Hebe's,"Healthy Food, Pizza, Continental, Sandwich, Pasta, Beverages","HSR, Bangalore",500,4.0,4
Purnabramha Maharashtrian Restaurant,"Maharashtrian, Beverages","HSR, Bangalore",800,3.7,4
New Kabab Plaza,"North Indian, Chinese","BTM, Bangalore",500,3.3,2
Srinidhi Sagar Deluxe,"South Indian, North Indian, Chinese, Street Food, Shake","Domlur, Bangalore",300,3.0,2
Plan B,"American, Continental, Bar Food, Chinese, Fast Food, Pizza, Burger, Beverages","Koramangala 5th Block, Bangalore",1300,4.3,1
Jenis Restaurant,"Chinese, North Indian, Mughlai, Andhra, Beverages, Shake","Bommanahalli, Bangalore",350,,0
Bombay Pav Bhaji And Tawa Pulao,"Street Food, Shake","BTM, Bangalore",250,,0
Giani Icecream ,"Ice Cream, Shake","Koramangala 5th Block, Bangalore",350,3.5,0
Bajjis By Gourmet Kitchen,"Street Food, Chinese","HSR, Bangalore",100,,0
Bite Me Cupcakes,"Shake, Waffle, Bakery, Ice Cream","Koramangala 1st Block, Bangalore",200,4.2,4
ITC Sunfeast Baked Creations,"Bakery, Desserts, Sandwich","Koramangala 7th Block, Bangalore",250,,3
Kolkata Durbar,"Biryani, Rolls, Mughlai, North Indian","BTM, Bangalore",150,,3
Call A Cake,Bakery,"BTM, Bangalore",200,,3
Paris Waffle Co.,Desserts,"Koramangala 1st Block, Bangalore",200,,3
Momo Rice Noodles,"Chinese, Seafood, Momos, Rolls","Ejipura, Bangalore",400,3.9,4
Snaky Day,"Beverages, Juices, Fast Food, Lebanese","BTM, Bangalore",100,,0
Little Cafe,"Fast Food, Chinese, North Indian, Shake","Basavanagudi, Bangalore",350,3.1,2
LayerBite,"Bakery, Desserts, Beverages","BTM, Bangalore",400,,0
Misu,"Asian, Japanese, Thai, Burmese, Korean, Indonesian, Vietnamese, Singaporean","St. Marks Road, Bangalore",1700,4.6,1
Ooty Chocolates,Desserts,"Koramangala 4th Block, Bangalore",150,,0
Fabelle Chocolates,"Desserts, Bakery","Koramangala 7th Block, Bangalore",400,,3
Fresh Cane Juice,"Juices, Beverages","HSR, Bangalore",50,,0
Abees Mess,"South Indian, Chinese, Biryani","BTM, Bangalore",400,,0
Box Asia - Chinese and More,Chinese,"HSR, Bangalore",200,,3
Mr. Tea,"Fast Food, Kerala","BTM, Bangalore",200,,0
Bangarpet Chats,"North Indian, Chinese, Street Food","Koramangala 1st Block, Bangalore",300,,0
Toping Twist,Momos,"HSR, Bangalore",200,4.0,4
Biryani Crafts,"Biryani, North Indian, Chinese","BTM, Bangalore",250,,3
Sri Krishna Sagar,"South Indian, North Indian, Chinese, Fast Food, Street Food","BTM, Bangalore",450,3.5,0
Mahesh Food Court,"Fast Food, Street Food","Jayanagar, Bangalore",50,,0
Rosie's Kitchen,"North Indian, Chinese","HSR, Bangalore",200,,0
Kalpavriksha Upahara,"South Indian, North Indian, Chinese, Street Food, Beverages","Jayanagar, Bangalore",600,4.0,4
INOX,"Fast Food, Street Food","Garuda Swagath Mall, Jayanagar, Bangalore",250,,3
Occasions,"Bakery, Desserts","Koramangala 4th Block, Bangalore",400,4.1,4
Makers of Milkshakes,"Beverages, Desserts, Shake","Koramangala 5th Block, Bangalore",200,,0
Moolehatti Donne Biriyani Mane,"Biryani, South Indian, North Indian","HSR, Bangalore",400,3.8,4
Desi Vdesi,"North Indian, Fast Food, Beverages, Shake","Shanti Nagar, Bangalore",300,3.6,0
Sandwich Central,"Sandwich, Fast Food","BTM, Bangalore",150,,0
Burger It Up,Burger,"Koramangala 6th Block, Bangalore",200,,3
Hokart - Special Hot Momos,Momos,"Ejipura, Bangalore",100,,0
Dakshin Biriyanis,"Kebab, Biryani","BTM, Bangalore",250,3.1,2
Meals From North,Street Food,"HSR, Bangalore",200,,3
Capella,"Bakery, Desserts","HSR, Bangalore",250,,0
Lassi Shop And Cafe,"Beverages, Ice Cream, Shake, Desserts","Basavanagudi, Bangalore",250,,0
Lovespell Ice Creams ,"Ice Cream, Desserts, Beverages","Koramangala 8th Block, Bangalore",200,,0
Jumbo Sandwich,"Sandwich, Fast Food, Beverages, Pizza, Shake","BTM, Bangalore",150,,3
Juicy City,"Juices, Beverages, Sandwich, Shake, Ice Cream","Koramangala 5th Block, Bangalore",50,,0
Sri Udupi Sagar,"South Indian, Chinese","BTM, Bangalore",300,3.1,2
Ultimate Punjabi,"North Indian, Chinese","BTM, Bangalore",200,,3
Singh Da Punjabi Dhaba,"North Indian, Biryani","Koramangala 7th Block, Bangalore",100,,3
Ashok Vattika,"South Indian, North Indian, Chinese, Fast Food, Ice Cream, Shake, Beverages","Jayanagar, Bangalore",500,3.6,0
Eshanya Street Food Cafe,"North Indian, Mughlai, Chinese, Beverages","Jayanagar, Bangalore",1200,4.1,1
Bake N Bloom,Bakery,"Residency Road, Bangalore",100,,0
The Fruit Bowl,"Healthy Food, Beverages","BTM, Bangalore",200,,3
Flavours Hut,"Kerala, North Indian, Chinese, Seafood, Biryani, Street Food","HSR, Bangalore",600,3.8,4
The Dessert Corner,"Desserts, Bakery","Koramangala 1st Block, Bangalore",150,,3
Trattoria By Toscano,"Italian, Continental, Healthy Food, Desserts, Salad, Shake","Jayanagar, Bangalore",300,,3
Stoned Monkey,"Desserts, Ice Cream, Beverages, Mexican, Shake","HSR, Bangalore",400,3.9,4
Ziyan's Cafe 27th,"Kerala, South Indian","HSR, Bangalore",300,3.8,0
Gourmet Ice Cream Cakes By Baskin Robbins,"Bakery, Desserts, Ice Cream","Indiranagar, Bangalore",150,,3
Bready Steady Go,"Fast Food, Italian, Pizza, Street Food, Beverages, Shake","Jayanagar, Bangalore",300,3.7,0
Veg Cake House,"Bakery, Desserts","Bommanahalli, Bangalore",150,,0
Sugo,"Pasta, Panini, Desserts, Beverages","Koramangala 4th Block, Bangalore",200,,0
Candy Cloud Factory,"Desserts, Beverages, Ice Cream, Fast Food, Shake","Koramangala 5th Block, Bangalore",400,4.0,4
The Pizza Place,"Pizza, Fast Food","Koramangala 1st Block, Bangalore",250,,0
Captain Olive,Burger,"BTM, Bangalore",200,,3
Atithi Satkaar,"North Indian, South Indian, Chinese, Fast Food, Ice Cream, Beverages, Shake","City Market, Bangalore",600,,4
Chopstick,"Chinese, Desserts, Seafood, Burger","BTM, Bangalore",250,,3
Delhi Biryani Cafe,"North Indian, Biryani","BTM, Bangalore",300,3.9,4
Slurpy Shakes,"Beverages, Burger, Fast Food, Bakery, Shake","Koramangala 6th Block, Bangalore",200,,3
Cafe Azzure,"Continental, Fast Food, Italian, Beverages, Desserts","MG Road, Bangalore",900,4.2,4
Zain Kabab Zone,"Chinese, South Indian, Biryani","Bommanahalli, Bangalore",250,3.2,2
Hotel Palace,"South Indian, Biryani","HSR, Bangalore",300,3.8,0
Jain & Veg Cuisines,"Chinese, Fast Food, Pizza","Basavanagudi, Bangalore",150,,3
Karahi Kitchen,"Andhra, Biryani, North Indian, South Indian","Koramangala 5th Block, Bangalore",300,,0
PURRed @Charlie's,"Fast Food, Pizza, Beverages, Desserts, Burger, Pasta, Shake","JP Nagar, Bangalore",500,3.5,0
Lassi Ghat,"Beverages, Desserts","Jayanagar, Bangalore",100,,3
Gowdru Hotel,"Chinese, South Indian, Fast Food","Bommanahalli, Bangalore",250,,0
Manasa Family Restaurant,"North Indian, Chinese, Andhra, Mughlai, Biryani, Beverages","BTM, Bangalore",500,3.6,0
Bon Viveur Cakes & Cafe,"Bakery, Desserts, Beverages, Shake","BTM, Bangalore",450,3.6,0
Uncle Peters Pancake,", Desserts, Fast Food, Beverages","Bommanahalli, Bangalore",200,,0
Smokey Tribe Restaurant,"North Eastern, Fast Food","Koramangala 7th Block, Bangalore",700,4.0,4
The Cake House,"Bakery, Fast Food","Ulsoor, Bangalore",100,,0
Hopshaus,"Continental, North Indian, Mughlai, Desserts, Beverages","Indiranagar, Bangalore",1500,3.7,1
Bismillah Hotel,"Chinese, South Indian","BTM, Bangalore",100,,0
Sri Vasavi Chats,"Italian, Chinese, Fast Food, Street Food","Jayanagar, Bangalore",100,,0
Zed The Baker,"Bakery, Continental, European, Desserts, French, Cafe","Church Street, Bangalore",800,3.7,4
Panjabi Dhaba,North Indian,"BTM, Bangalore",200,3.5,0
Blue Tokai Coffee Roasters,"Cafe, Beverages, Coffee, European, Continental","Koramangala 8th Block, Bangalore",600,4.0,4
Holy Smoke,"Fast Food, Mughlai","BTM, Bangalore",350,4.0,4
Chandni Chowk 2 Bangalore,"North Indian, Beverages, Momos, Biryani, Chinese, Desserts","Bommanahalli, Bangalore",450,3.7,4
Edesia By Freshmenu,"Bakery, Desserts","Koramangala 1st Block, Bangalore",100,,0
Grubbery,"Salad, Burger, Pizza, Sandwich, Continental, Ice Cream, Desserts, Beverages","HSR, Bangalore",400,3.2,2
Shiv Sagar Signature,"South Indian, Street Food, Fast Food, Continental, North Indian, Chinese, Shake","JP Nagar, Bangalore",500,3.2,2
Cookie Man,"Bakery, Desserts","Vega City, Bannerghatta Road, Bangalore",400,3.1,2
Wokitchen,"Chinese, Vietnamese, Thai, Asian","BTM, Bangalore",250,,3
IceBreakers,"Desserts, Ice Cream, Beverages","Koramangala 6th Block, Bangalore",300,4.3,4
Bhaijaan Barbeques,"Lebanese, Fast Food","Jayanagar, Bangalore",200,,0
Salt - Indian Restaurant Bar & Grill,"North Indian, South Indian, Biryani, Mughlai, Fast Food, Desserts, Beverages","Forum Mall, Koramangala, Bangalore",1500,4.5,1
Food Springs,"Chinese, Asian, Beverages","Jayanagar, Bangalore",500,3.8,4
Biryani Tub,Biryani,"BTM, Bangalore",150,,3
Crosta Pizza,"Fast Food, Pizza","BTM, Bangalore",150,,3
Kabab Magic Roll,"Chinese, Fast Food, Rolls, BBQ","Richmond Road, Bangalore",500,3.2,2
Rock And Roll,North Indian,"HSR, Bangalore",200,,3
Fipola Grill House,Fast Food,"Jayanagar, Bangalore",100,,3
Smoke Tales,"North Indian, Rolls, Kebab","Koramangala 6th Block, Bangalore",300,,3
Mystique Palate,Chinese,"Jayanagar, Bangalore",400,4.2,4
Burger In Moon,"Burger, Sandwich, Beverages","BTM, Bangalore",150,,3
Tasty Restaurant,"Arabian, North Indian, Chinese, Biryani, Mughlai, Beverages, South Indian","BTM, Bangalore",150,,0
Aparanji Donne Biryani House,"Kebab, South Indian","HSR, Bangalore",250,,0
Nourich,"Healthy Food, Chinese, North Indian, Fast Food, Beverages, Mughlai, Continental, Salad","JP Nagar, Bangalore",800,4.0,4
Kalpavruksha,"South Indian, North Indian, Chinese","Bannerghatta Road, Bangalore",400,3.8,4
Litti Twist,"North Indian, Bihari, Street Food, Desserts, Chinese, Beverages","BTM, Bangalore",400,4.2,4
Uday Sweets,"Mithai, Street Food","Koramangala 5th Block, Bangalore",50,,0
Moti Mahal Delux,"North Indian, Mughlai, Hyderabadi, Chinese, Desserts","HSR, Bangalore",600,4.3,4
Carrots,Pizza,"Koramangala 5th Block, Bangalore",700,4.2,4
Shiro,"Japanese, Asian, Thai","UB City, Bangalore",3000,4.5,1
Oh! Calcutta,"Bengali, Seafood, North Indian, Biryani, Finger Food","Sarjapur Road, Bangalore",350,,3
Aalishan Restaurant & Caterer,"North Indian, Mughlai, Biryani, Kebab","Koramangala 7th Block, Bangalore",650,3.2,2
Magic Fill,"North Indian, Chinese, Mughlai","Basavanagudi, Bangalore",150,,3
The Biryani Zone - By Kouzina,Biryani,"Koramangala 5th Block, Bangalore",200,,3
Tibb's Frankie,Rolls,"Skywalk, Ulsoor, Bangalore",200,3.1,2
Bakasura,"Mughlai, Chinese","BTM, Bangalore",150,,3
New Gongura's,"Andhra, North Indian, Chinese, Mughlai, Biryani","BTM, Bangalore",500,3.6,0
Shiv Shakthi,Street Food,"HSR, Bangalore",100,,0
Andhra Meal Express,"Andhra, Biryani, Desserts","HSR, Bangalore",200,,0
Jamshedpur Chats & Golgappa,"Street Food, Bihari, North Indian","HSR, Bangalore",200,3.6,0
Yak's Kitchen,"Chinese, Tibetan, Momos","Brigade Road, Bangalore",400,3.9,4
Canteen Central - Pizzas & Pastas,"Burger, Pasta","Koramangala 7th Block, Bangalore",200,,3
Champaran Meat House,"North Indian, Bihari","HSR, Bangalore",150,,0
Juice Junction & Snacks,"Fast Food, Sandwich, Rolls, Beverages, Shake","Jayanagar, Bangalore",300,,0
Udupi Aramane,"South Indian, North Indian, Chinese, Beverages, Desserts, Street Food, Shake","Bommanahalli, Bangalore",300,3.3,2
Udupi Sagar,"South Indian, North Indian, Chinese, Juices, Beverages, Shake","City Market, Bangalore",400,3.4,2
Marwadi Chaat & Tiffin Services,"North Indian, Street Food, Chinese, Beverages","Shanti Nagar, Bangalore",250,3.6,0
Churmur Chaat Company,Street Food,"Residency Road, Bangalore",150,,0
Chillout,"Fast Food, Beverages, Juices, Shake","BTM, Bangalore",200,3.5,0
Fresh Juice Bar,"Juices, Beverages, Ice Cream, Desserts, Shake","Bannerghatta Road, Bangalore",100,,0
Cafe Mondo,"Cafe, Italian, Fast Food, Beverages, Desserts","Basavanagudi, Bangalore",600,3.1,2
The Bangalore Creamery,"Ice Cream, Desserts, Beverages, Shake, Waffle","Koramangala 1st Block, Bangalore",150,,0
McDonald's,"Burger, Beverages, Fast Food, Desserts","HSR, Bangalore",400,3.5,0
Imperio Restaurant,"North Indian, Biryani, Arabian, Chinese, Kebab, Beverages, Juices","Koramangala 5th Block, Bangalore",150,,0
Andhra Gunpowder,"Biryani, South Indian, Desserts, Beverages","BTM, Bangalore",200,,3
Donne Biriyani House,Biryani,"Koramangala 7th Block, Bangalore",300,3.6,0
Madras Meal Company,South Indian,"Koramangala 6th Block, Bangalore",150,,3
Biriyani Zone,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages","HSR, Bangalore",800,4.0,4
Delicacy,"Chinese, Thai","Koramangala 4th Block, Bangalore",500,4.0,4
Cake Menu,"Bakery, Desserts","Koramangala 1st Block, Bangalore",400,3.5,0
