name,cuisines,area,averagecost,dinner ratings,cluster
Anjappar,"Chettinad, Biryani, Chinese, Seafood, South Indian, Mughlai, North Indian, Desserts","Indiranagar, Bangalore",800,3.9,4
Barbeque Nation,"BBQ, Mughlai, Biryani, North Indian, Desserts, Beverages","Indiranagar, Bangalore",1600,4.6,1
Faasos - Wraps & Rolls,"North Indian, Desserts, Wraps, Beverages","Indiranagar, Bangalore",200,,3
Kwality Wallâs Frozen Dessert and Ice Cream Shop,Ice Cream,"Indiranagar, Bangalore",100,,3
CakeZone,"Bakery, Desserts","Domlur, Bangalore",300,,0
Hari Super Sandwich,"Fast Food, Sandwich, Street Food","Brigade Road, Bangalore",200,3.2,2
Kapoor's Cafe,"North Indian, Beverages, Desserts","Kalyan Nagar, Bangalore",700,4.2,4
Sardarji Londonwaley,"North Indian, Chinese","Thippasandra, Bangalore",150,,3
La Pino'z Pizza,"Pizza, Fast Food","Indiranagar, Bangalore",500,3.7,4
Potful - Claypot Biryanis,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages","Thippasandra, Bangalore",300,,0
Lassi Shop,"Fast Food, Ice Cream, Desserts, Shake, Beverages","Jeevan Bhima Nagar, Bangalore",100,,0
California Burrito,"Mexican, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",500,4.1,4
Paratha Envy,North Indian,"Thippasandra, Bangalore",150,,3
Glen's Bakehouse,"Bakery, Italian, Pizza, Sandwich, Street Food, Desserts, Beverages","Indiranagar, Bangalore",400,4.2,4
Donne Biriyani House,"Biryani, South Indian","Kammanahalli, Bangalore",150,,0
NIC - Natural Ice Creams,Ice Cream,"Indiranagar, Bangalore",100,,3
Royal Restaurant,"North Indian, Chinese","Shivajinagar, Bangalore",200,4.0,4
New Krishna Sagar,"South Indian, North Indian, Chinese, Beverages","Indiranagar, Bangalore",350,3.5,0
Ambur Star Briyani Since 1890,"Biryani, Andhra, Chinese, Beverages","Indiranagar, Bangalore",700,3.2,2
Call Me Chow,"Chinese, Japanese, Thai, Indonesian, Asian","Kalyan Nagar, Bangalore",200,,0
Andhra Biryanis,"Biryani, Andhra, Chinese, North Indian","Indiranagar, Bangalore",250,,3
Falahaar & Kota Kachori,"North Indian, Rajasthani, Fast Food, Street Food, Mithai, Beverages","Indiranagar, Bangalore",100,,3
Ludos Pizza,"Pizza, Desserts","Indiranagar, Bangalore",200,,3
WarmOven Cake & Desserts,"Bakery, Desserts","Indiranagar, Bangalore",350,,3
LunchBox - Meals and Thalis,"North Indian, Healthy Food, Beverages, Chinese","Indiranagar, Bangalore",200,,3
Goli Vada Pav,"Street Food, Fast Food, Burger, Ice Cream, Desserts","Thippasandra, Bangalore",350,3.1,2
Meat And Eat,"Burger, Fast Food, Desserts, Beverages, BBQ, Sandwich, Finger Food","Domlur, Bangalore",400,3.3,2
Adiga's,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages","Indiranagar, Bangalore",800,2.8,2
Rahhams,"Biryani, Mughlai, North Indian, Kebab, Chinese, Seafood, Rolls, Beverages","Old Airport Road, Bangalore",700,2.4,2
Great Indian Khichdi,"Healthy Food, Beverages","Indiranagar, Bangalore",150,,3
Ambur Biryani Point,"Biryani, Fast Food","Koramangala 1st Block, Bangalore",200,3.3,2
The Punjabi Rasoi,"North Indian, Chinese, Mughlai","Brookefield, Bangalore",150,,3
Smoor,"Desserts, Cafe, Pizza, Asian, Thai, Italian, Beverages, Shake","Indiranagar, Bangalore",900,4.6,1
Krispy Kreme,"Desserts, Beverages","Indiranagar, Bangalore",400,3.9,4
Savoury Express,"Mughlai, North Indian, Fast Food, Chinese, Desserts, Beverages, Shake","Jeevan Bhima Nagar, Bangalore",800,2.9,2
Pathaan Sir,"Fast Food, Momos, Rolls, Kebab, Juices","Indiranagar, Bangalore",300,2.8,2
Biryani By Kilo,"Biryani, Mughlai, Kebab, Hyderabadi","Koramangala 6th Block, Bangalore",700,4.0,4
Thalaivars Biryani,"Biryani, South Indian","Indiranagar, Bangalore",250,,3
Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food, Momos","Indiranagar, Bangalore",200,,3
Shanthi Sagar,"South Indian, North Indian, Chinese, Beverages, Desserts, Shake","Ulsoor, Bangalore",250,3.8,0
New Udupi Garden,"South Indian, North Indian, Beverages, Chinese","Old Airport Road, Bangalore",350,3.5,0
Cakewala,"Bakery, Desserts","HSR, Bangalore",100,,0
Baskin Robbins,"Ice Cream, Desserts, Beverages","Indiranagar, Bangalore",400,,3
Chulha Chauki Da Dhaba,"North Indian, Biryani, Chinese, Beverages","Marathahalli, Bangalore",1000,4.5,1
Asha Sweet Center,"Mithai, Street Food","Indiranagar, Bangalore",400,2.3,2
Chai Point,"Tea, North Indian, Fast Food, Street Food, Beverages","Indiranagar, Bangalore",400,2.4,2
Yumlane Pizza,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",250,,3
Mad Over Donuts,"Desserts, Beverages","Indiranagar, Bangalore",100,,0
Bakingo,"Bakery, Desserts","Thippasandra, Bangalore",350,,3
Sattvam,"North Indian, South Indian","Whitefield, Bangalore",1500,4.3,1
Starbucks Coffee,"Coffee, Desserts, Beverages","Indiranagar, Bangalore",600,4.3,4
Madurai Idly Shop,"South Indian, Chinese","Indiranagar, Bangalore",300,3.7,0
Aligarh House,"Biryani, North Indian, Kebab, Desserts, Beverages","Indiranagar, Bangalore",250,,0
Samosa Party,"Fast Food, Beverages, Burger, Tea","Jeevan Bhima Nagar, Bangalore",200,4.1,4
Delicacy,"Chinese, Thai","Frazer Town, Bangalore",500,3.8,4
Rolls On Wheels,"Rolls, Chinese, North Indian","Indiranagar, Bangalore",300,3.0,2
Laddoos,"Mithai, North Indian, Beverages, Fast Food, Street Food, Desserts","Jeevan Bhima Nagar, Bangalore",300,2.9,2
Chinese Wok - Wok Express,"Momos, Chinese","Indiranagar, Bangalore",200,,3
The Biryani Life,"Fast Food, North Indian, Desserts, Beverages","Indiranagar, Bangalore",250,,3
Peetuk,"Bengali, Biryani, Rolls","Domlur, Bangalore",200,,0
Ghee And Turmeric,"North Indian, Mughlai","Indiranagar, Bangalore",350,,3
The Hangout,"Pizza, Burger, Fast Food, Sandwich, Rolls","MG Road, Bangalore",300,3.0,2
Magnolia Bakery,"Bakery, Desserts","Indiranagar, Bangalore",300,4.2,4
RS Shiv Sagar,"North Indian, South Indian, Asian, Continental, Chinese, Desserts","MG Road, Bangalore",500,4.1,4
IDC Kitchen ,South Indian,"Indiranagar, Bangalore",200,3.5,0
Itminaan Biryani - Dum Pukht,"Biryani, Mughlai, North Indian","Indiranagar, Bangalore",250,,3
Dum Biryani Adda,"Biryani, North Indian","Jeevan Bhima Nagar, Bangalore",200,,3
Chowman,"Chinese, Asian, Thai, Oriental","Indiranagar, Bangalore",800,4.1,4
Just Shawarma,"Lebanese, Fast Food, Beverages","Indiranagar, Bangalore",100,,0
Udupi Krishna Grand,"South Indian, North Indian, Street Food, Biryani, Beverages, Chinese, Shake","Kalyan Nagar, Bangalore",500,3.4,2
Orbis Restaurant,"Mughlai, Biryani, North Indian, Arabian, Chinese, Beverages, Desserts","Indiranagar, Bangalore",750,3.7,4
Sri Udupi Grand,"South Indian, North Indian, Chinese, Beverages, Shake","Brigade Road, Bangalore",300,3.7,0
Empire Juices And Ice Creams,"Shake, Ice Cream, Desserts, Beverages","Indiranagar, Bangalore",100,,3
Ambur Dum Biriyani,"Biryani, Kebab","Indiranagar, Bangalore",200,3.1,2
Donne Biriyani Mane,"Biryani, South Indian, Chinese, North Indian","CV Raman Nagar, Bangalore",400,3.0,2
The Good Bowl,"North Indian, Mughlai","Indiranagar, Bangalore",200,,0
UBQ By Barbeque Nation,"North Indian, Kebab, BBQ, Biryani","Indiranagar, Bangalore",250,,3
ibaco,Desserts,"Indiranagar, Bangalore",250,4.1,4
NH1 Bowls - Highway To North,"North Indian, Kebab, Desserts","Indiranagar, Bangalore",200,,3
Sangam Sweets,"Mithai, Street Food, Fast Food","Koramangala 3rd Block, Bangalore",250,3.5,0
Snack House,"Street Food, Momos","Thippasandra, Bangalore",150,,0
Juice Junction,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food","St. Marks Road, Bangalore",250,3.9,0
Keventers - Milkshakes & Desserts,"Beverages, Desserts, Ice Cream, Shake","Garuda Mall, Magrath Road, Bangalore",200,3.3,2
Sangam Mess,"South Indian, Biryani, North Indian, Chinese, Seafood, Beverages","Kammanahalli, Bangalore",300,4.2,4
Roti Ghar Ki,North Indian,"CV Raman Nagar, Bangalore",100,,3
Shahi Family Restaurant,"North Indian, Chinese, South Indian, Biryani","Ulsoor, Bangalore",450,3.7,4
"Frozen Bottle - Milkshakes, Desserts and Ice Cream","Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food","Indiranagar, Bangalore",200,,0
AB's - Absolute Barbecues,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages","Marathahalli, Bangalore",1200,4.7,1
Odia Dine,"North Indian, Odia","Old Airport Road, Bangalore",300,3.9,4
Motis Kitchen,"South Indian, Kerala, Chinese, Seafood, Chettinad, North Indian","Thippasandra, Bangalore",350,4.2,4
Bullet Biryani,"Biryani, Fast Food","Indiranagar, Bangalore",150,,3
New Tandoor,"North Indian, Chinese, Mughlai, Rolls, Biryani, Seafood","CV Raman Nagar, Bangalore",600,3.6,4
Taj Hotel,"Mughlai, Chinese, South Indian, North Indian","Shivajinagar, Bangalore",500,3.5,0
